ID,Year,Country name,Start date,End date,Type,Regions affected (v2021),Cause,References
1453,1979,Switzerland,1979-06-01,1979-06-02,Flash,CH061;CH065,Extreme rainfall,Rothlisberger (1991)
6017,1981,Switzerland,1981-07-10,1981-07-12,River,CH033,Heavy rainfall,Zeller and Röthlisberger (1982)
1454,1984,Switzerland,1984-07-24,1984-07-25,Flash,CH021;CH031;CH040;CH052;CH053;CH054;CH055;CH061;CH065,Extreme rainfall,Rothlisberger (1991)
1455,1985,Switzerland,1985-07-04,1985-07-05,Flash,CH021;CH022,Extreme rainfall,Rothlisberger (1991)
6019,1986,Switzerland,1986-05-23,1986-05-24,Flash,CH021,Extreme rainfall,Sturmarchiv Schweiz (2022)
1456,1986,Switzerland,1986-06-16,1986-06-23,River,CH021;CH023;CH033;CH040;CH061;CH066,Heavy rainfall,Hilker et al. (2009); Rothlisberger (1991)
1457,1987,Switzerland,1987-07-01,1987-07-08,River,CH021;CH052;CH056;CH063,Heavy rainfall,CRED (2023); Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991)
1458,1987,Switzerland,1987-07-14,1987-07-19,River,CH012;CH021;CH056;CH070,Heavy rainfall,CRED (2023); Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991)
1459,1987,Switzerland,1987-08-24,1987-08-25,Flash,CH012;CH062;CH070,Extreme rainfall,Hilker et al. (2009); Bundesamt für Wasserwirtschaft (1991); Rothlisberger (1991); Thomas (1988a)
1460,1988,Switzerland,1988-06-11,1988-06-16,Flash,CH021;CH025;CH061,Extreme rainfall (3 series),Hilker et al. (2009); Rothlisberger (1991)
1461,1990,Switzerland,1990-07-29,1990-07-29,Flash,CH021,Extreme rainfall up to 500 mm in 4 h,Munich Re (2017); PLANAT (2011)
6029,1993,Switzerland,1993-07-16,1993-07-17,Flash,CH033,Extreme rainfall up to 50 mm in 1 h,Sturmarchiv Schweiz (2022)
1462,1993,Switzerland,1993-09-23,1993-10-14,River,CH012;CH070,"Heavy rainfall, more than 100 mm/day",Barredo (2007); Brakenridge (2022); Stucki et al. (2013); Hilker et al. (2009); Sturmarchiv Schweiz (2022)
2334,1994,Switzerland,1994-05-18,1994-05-19,Flash,CH033;CH040;CH057,Extreme rainfall up to 100 mm in 12 h,Rothlisberger (1995); Sturmarchiv Schweiz (2022)
6026,1995,Switzerland,1995-07-14,1995-07-15,Flash,CH056,Extreme rainfall up to 50 mm in 1 h,Sturmarchiv Schweiz (2022)
6027,1997,Switzerland,1997-07-10,1997-07-25,River,CH021;CH032,Heavy rainfall (3 waves),Rothlisberger (1998); Sturmarchiv Schweiz (2022)
6028,1997,Switzerland,1997-08-05,1997-08-06,Flash,CH021;CH061,Extreme rainfall,Rothlisberger (1998); Sturmarchiv Schweiz (2022)
1463,1997,Switzerland,1997-08-15,1997-08-16,Flash,CH064,Extreme rainfall up to 150 mm in 2 h,CRED (2023); BWG (2004); Rothlisberger (1998)
6030,1999,Switzerland,1999-02-20,1999-02-22,River,CH031;CH032;CH033,Snowmelt,Hegg et al. (2000)
1464,1999,Switzerland,1999-05-12,1999-05-29,River,CH021;CH023;CH031;CH032;CH033;CH040;CH055;CH057,Snowmelt and rainfall,CRED (2023); Barredo (2007); Brakenridge (2022); Hilker et al. (2009)
6031,1999,Switzerland,1999-09-26,1999-09-27,River,CH056,Heavy rainfall up to 400 mm in 2 days,Hegg et al. (2000)
2879,2000,Switzerland,2000-08-06,2000-08-06,Flash,CH021;CH055;CH056,Extreme rainfall,Hegg et al. (2001)
1465,2000,Switzerland,2000-10-13,2000-10-16,River,CH012;CH070,Heavy rainfall,Barredo (2007); Hilker et al. (2009); Hegg et al. (2001)
2880,2001,Switzerland,2001-03-12,2001-03-12,River,CH021,Heavy rainfall,Hegg et al. (2002)
2881,2001,Switzerland,2001-06-27,2001-06-28,Flash,CH021;CH032,Extreme rainfall,Hegg et al. (2002)
2882,2001,Switzerland,2001-07-15,2001-07-15,Flash,CH070,Extreme rainfall,Hegg et al. (2002)
2883,2002,Switzerland,2002-07-13,2002-07-17,River,CH021;CH061,Heavy rainfall,Hegg et al. (2003)
1466,2005,Switzerland,2005-08-19,2005-08-26,River,CH021;CH023;CH033;CH040;CH051;CH055;CH056;CH061;CH062;CH063;CH064;CH065;CH066,Heavy rainfall up to 220 mm in 48 h,CRED (2023); Brakenridge (2022); Hilker et al. (2007a); OFDA (2005)
2884,2006,Switzerland,2006-04-09,2006-04-10,River,CH021;CH022;CH025;CH032;CH052,Heavy rainfall,Hilker et al. (2007b)
1467,2006,Switzerland,2006-07-05,2006-07-27,River,CH012;CH021,Heavy rainfall,CRED (2023); Brakenridge (2022); Hilker et al. (2007b)
2885,2006,Switzerland,2006-09-17,2006-09-18,Flash,CH023;CH032;CH055,Extreme rainfall,Hilker et al. (2007b)
1468,2007,Switzerland,2007-06-04,2007-06-21,River,CH021;CH040;CH052;CH055;CH061;CH063,Heavy rainfall (several waves),Brakenridge (2022); Hilker et al. (2008)
1469,2007,Switzerland,2007-08-07,2007-08-22,River,CH012;CH021;CH022;CH023;CH024;CH032;CH033;CH056;CH061,Heavy rainfall (several waves),CRED (2023); Hilker et al. (2008)
2886,2007,Switzerland,2007-08-29,2007-08-30,Flash,CH021,Extreme rainfall,Hilker et al. (2008)
2887,2009,Switzerland,2009-08-08,2009-08-08,Flash,CH021;CH055;CH061,Extreme rainfall,Hilker et al. (2010)
2888,2010,Switzerland,2010-06-06,2010-06-06,Flash,CH021,Extreme rainfall,Hilker et al. (2011)
2889,2011,Switzerland,2011-07-10,2011-07-10,Flash,CH053,Extreme rainfall,Andres et al. (2012)
2890,2011,Switzerland,2011-10-08,2011-10-10,River,CH012;CH021;CH051,Heavy rainfall and snowmelt,Andres et al. (2012)
2891,2013,Switzerland,2013-05-02,2013-05-02,Flash,CH033;CH040;CH052,Extreme rainfall up to 33 mm in 10 min,Andres et al. (2014)
2892,2013,Switzerland,2013-05-31,2013-06-02,River,CH040;CH053;CH054;CH055;CH063,Heavy rainfall,Andres et al. (2014); Sturmarchiv Schweiz (2022)
6004,2014,Switzerland,2014-07-04,2014-07-28,River,CH021;CH055;CH061,Heavy rainfall (several waves),Andres et al. (2015); Sturmarchiv Schweiz (2022); FloodList (2022)
6006,2015,Switzerland,2015-06-07,2015-06-07,Flash,CH061,Extreme rainfall above 50 mm in 1 h,Andres et al. (2016); Sturmarchiv Schweiz (2022); FloodList (2022)
2893,2016,Switzerland,2016-06-04,2016-06-30,River,CH022;CH032;CH033;CH052;CH055;CH061;CH064,Heavy rainfall (several waves),Andres and Badoux (2017); Sturmarchiv Schweiz (2022)
6007,2019,Switzerland,2019-06-21,2019-06-21,Flash,CH024,Extreme rainfall up to 100 mm in 3 h,Liechti et al. (2020); Sturmarchiv Schweiz (2022); FloodList (2022); Gretillat (2021)
